Acession;Virus;Genotype;Country;Date;Size
EU482787;Dengue Serotype 2;Genotype III - Southern Asian-American;Viet Nam;2003;10678
EU482788;Dengue Serotype 2;Genotype III - Southern Asian-American;Viet Nam;2003;10678
EU518601;Dengue Serotype 2;Could not assign;French Guiana;2006;390
EU518602;Dengue Serotype 2;Could not assign;French Guiana;2006;390
EU518603;Dengue Serotype 2;Could not assign;French Guiana;2006;390
EU518604;Dengue Serotype 2;Could not assign;French Guiana;2006;390
EU529693;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;2004;10639
EU529694;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;1994;10678
EU529695;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;1994;10666
EU529700;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;1994;10678
EU529701;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;1991;10678
EU529706;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;2006;10668
EU552534;Dengue Serotype 2;Could not assign;Mexico;2006;386
EU552535;Dengue Serotype 2;Could not assign;Mexico;2006;386
EU552536;Dengue Serotype 2;Could not assign;Mexico;2006;386
EU552537;Dengue Serotype 2;Could not assign;Mexico;2006;386
EU552538;Dengue Serotype 2;Could not assign;Mexico;2006;386
EU552539;Dengue Serotype 2;Could not assign;Mexico;2006;386
EU552540;Dengue Serotype 2;Could not assign;Mexico;2006;408
EU552541;Dengue Serotype 2;Could not assign;Mexico;2006;408
EU552542;Dengue Serotype 2;Could not assign;Mexico;2006;408
EU569692;Dengue Serotype 2;Genotype III - Southern Asian-American;Nicaragua;2007;10674
EU569693;Dengue Serotype 2;Genotype III - Southern Asian-American;Nicaragua;2007;10680
EU569694;Dengue Serotype 2;Genotype III - Southern Asian-American;Nicaragua;2007;10680
EU569695;Dengue Serotype 2;Genotype III - Southern Asian-American;Nicaragua;2007;10680
EU569696;Dengue Serotype 2;Genotype III - Southern Asian-American;Nicaragua;2007;10664
EU569697;Dengue Serotype 2;Genotype III - Southern Asian-American;Nicaragua;2007;10680
EU569698;Dengue Serotype 2;Genotype III - Southern Asian-American;Nicaragua;2007;10680
EU569699;Dengue Serotype 2;Genotype III - Southern Asian-American;Nicaragua;2007;10678
EU569700;Dengue Serotype 2;Genotype III - Southern Asian-American;Nicaragua;2007;10679
EU569701;Dengue Serotype 2;Genotype III - Southern Asian-American;Nicaragua;2007;10680
EU569702;Dengue Serotype 2;Genotype III - Southern Asian-American;Nicaragua;2007;10679
EU569703;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;1996;10663
EU569704;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;1986;10668
EU569705;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;1993;10663
EU569706;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;1995;10678
EU569707;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;1995;10678
EU569708;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;1995;10678
EU569709;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;1996;10678
EU569710;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;1996;10678
EU569711;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;1998;10678
EU569712;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;1998;10677
EU569713;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;1997;10677
EU569714;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;1997;10678
EU569715;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;1997;10678
EU569716;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;1997;10678
EU569717;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;1997;10678
EU569718;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;1997;10663
EU569719;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;1997;10677
EU569720;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;1997;10723
EU569721;Dengue Serotype 2;Genotype V - Asian I;Viet Nam;2006;10678
EU570975;Dengue Serotype 2;Could not assign;Mexico;2006;408
EU570976;Dengue Serotype 2;Could not assign;Mexico;2006;408
EU570977;Dengue Serotype 2;Could not assign;Mexico;2006;408
EU570978;Dengue Serotype 2;Could not assign;Mexico;2006;408
EU570979;Dengue Serotype 2;Could not assign;Mexico;2006;408
EU570980;Dengue Serotype 2;Could not assign;Mexico;2006;408
EU570981;Dengue Serotype 2;Could not assign;Mexico;2006;408
EU570982;Dengue Serotype 2;Genotype III - Southern Asian-American;Mexico;2006;516
EU570983;Dengue Serotype 2;Genotype III - Southern Asian-American;Mexico;2006;516
EU596483;Dengue Serotype 2;Genotype III - Southern Asian-American;Nicaragua;2006;10680
EU596484;Dengue Serotype 2;Genotype III - Southern Asian-American;Nicaragua;2005;10678
EU596485;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;1996;10678
EU596486;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;1996;10678
EU596487;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;1998;10666
EU596488;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;2007;10678
EU596489;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;2007;10678
EU596490;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;2007;10678
EU596491;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;2007;10678
EU596495;Dengue Serotype 2;Genotype III - Southern Asian-American;Nicaragua;2007;10679
EU596496;Dengue Serotype 2;Genotype III - Southern Asian-American;Nicaragua;2007;10681
EU596497;Dengue Serotype 2;Genotype III - Southern Asian-American;Nicaragua;2007;10680
EU596498;Dengue Serotype 2;Genotype III - Southern Asian-American;Nicaragua;2007;10680
EU596499;Dengue Serotype 2;Genotype III - Southern Asian-American;Nicaragua;2007;10663
EU596500;Dengue Serotype 2;Genotype III - Southern Asian-American;Nicaragua;2007;10680
EU621672;Dengue Serotype 2;Genotype III - Southern Asian-American;Nicaragua;2007;10711
EU642553;Dengue Serotype 2;Could not assign;French Guiana;2006;390
EU660398;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;1989;10639
EU660399;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;1995;10678
EU660400;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;1998;10677
EU660404;Dengue Serotype 2;Genotype III - Southern Asian-American;Nicaragua;2007;10709
EU660405;Dengue Serotype 2;Genotype III - Southern Asian-American;Nicaragua;2007;10680
EU660406;Dengue Serotype 2;Genotype III - Southern Asian-American;Nicaragua;2007;10679
EU660413;Dengue Serotype 2;Genotype V - Asian I;Viet Nam;2007;10678
EU660414;Dengue Serotype 2;Genotype V - Asian I;Viet Nam;2007;10678
EU660415;Dengue Serotype 2;Genotype V - Asian I;Viet Nam;2007;10711
EU660416;Dengue Serotype 2;Genotype V - Asian I;Viet Nam;2007;10678
EU660417;Dengue Serotype 2;Genotype V - Asian I;Viet Nam;2007;10678
EU677137;Dengue Serotype 2;Genotype V - Asian I;Viet Nam;2007;10661
EU677138;Dengue Serotype 2;Genotype V - Asian I;Viet Nam;2007;10678
EU677141;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;1996;10677
EU677142;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;1999;10678
EU677143;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;1999;10678
EU677144;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;1999;10678
EU677145;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;1999;10678
EU677146;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;2004;10678
EU677147;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;2004;10678
EU677148;Dengue Serotype 2;Genotype V - Asian I;Viet Nam;2007;10678
EU677149;Dengue Serotype 2;Genotype V - Asian I;Viet Nam;2007;10661
EU687199;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;2003;10678
EU687212;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;1998;10668
EU687213;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;2004;10678
EU687214;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;2004;10678
EU687215;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;2004;10678
EU687216;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;2005;10678
EU687217;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;2005;10678
EU687220;Dengue Serotype 2;Genotype III - Southern Asian-American;Venezuela;1996;10678
EU687222;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;2000;10678
EU687223;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;2000;10678
EU687224;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;2000;10678
EU687225;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;2000;10678
EU687227;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;2001;10678
EU687228;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;2001;10678
EU687229;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;2001;10678
EU687230;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;2001;10674
EU687231;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;2001;10678
EU687232;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;2001;10662
EU687235;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;2003;10677
EU687236;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;2003;10678
EU687237;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;2003;10678
EU687238;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;2003;10678
EU687240;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;2003;10678
EU687241;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;2003;10678
EU687242;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;2004;10678
EU687243;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;2004;10678
EU687244;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;2004;10678
EU687245;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;2005;10678
EU687246;Dengue Serotype 2;Genotype V - Asian I;Thailand;1994;10679
EU687248;Dengue Serotype 2;Genotype V - Asian I;Viet Nam;2007;10678
EU687249;Dengue Serotype 2;Genotype V - Asian I;Viet Nam;2007;10678
EU687250;Dengue Serotype 2;Genotype V - Asian I;Viet Nam;2007;10668
EU726767;Dengue Serotype 2;Genotype V - Asian I;Thailand;1994;10678
EU726770;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;2005;10679
EU726775;Dengue Serotype 2;Genotype III - Southern Asian-American;Venezuela;1996;10679
EU726776;Dengue Serotype 2;Genotype V - Asian I;Viet Nam;2007;10663
EU781135;Dengue Serotype 2;Genotype III - Southern Asian-American;USA;2005;10678
EU854293;Dengue Serotype 2;Genotype IV - Asian II;Colombia;1944;10633
EU854294;Dengue Serotype 2;Genotype III - Southern Asian-American;Colombia;2005;10636
EU920828;Dengue Serotype 2;Genotype III - Southern Asian-American;French Guiana;1993;10663
EU920829;Dengue Serotype 2;Genotype III - Southern Asian-American;French Guiana;1997;10724
EU920830;Dengue Serotype 2;Genotype III - Southern Asian-American;French Guiana;1998;10717
EU920831;Dengue Serotype 2;Genotype III - Southern Asian-American;French Guiana;1998;10694
EU920832;Dengue Serotype 2;Genotype III - Southern Asian-American;French Guiana;1999;10698
EU920833;Dengue Serotype 2;Genotype III - Southern Asian-American;French Guiana;2000;10649
EU920834;Dengue Serotype 2;Genotype III - Southern Asian-American;French Guiana;2001;10676
EU920835;Dengue Serotype 2;Genotype III - Southern Asian-American;French Guiana;2002;10724
EU920836;Dengue Serotype 2;Genotype III - Southern Asian-American;Martinique;2005;10724
EU920837;Dengue Serotype 2;Genotype III - Southern Asian-American;Martinique;2005;10717
EU920838;Dengue Serotype 2;Genotype III - Southern Asian-American;Suriname;2005;10659
EU920839;Dengue Serotype 2;Genotype III - Southern Asian-American;Martinique;2005;10711
EU920840;Dengue Serotype 2;Genotype III - Southern Asian-American;French Guiana;2005;10688
EU920841;Dengue Serotype 2;Genotype III - Southern Asian-American;Martinique;2005;10665
EU920842;Dengue Serotype 2;Genotype III - Southern Asian-American;Suriname;2005;10726
EU920843;Dengue Serotype 2;Genotype III - Southern Asian-American;Martinique;2005;10647
EU920844;Dengue Serotype 2;Genotype III - Southern Asian-American;French Guiana;2006;10724
EU920845;Dengue Serotype 2;Genotype III - Southern Asian-American;French Guiana;2006;10666
EU920846;Dengue Serotype 2;Genotype III - Southern Asian-American;French Guiana;2006;10687
EU920847;Dengue Serotype 2;Genotype III - Southern Asian-American;French Guiana;2006;10644
EU920848;Dengue Serotype 2;Genotype III - Southern Asian-American;French Guiana;2006;10724
EU920849;Dengue Serotype 2;Genotype III - Southern Asian-American;Guadeloupe;2006;10690
EU920850;Dengue Serotype 2;Genotype III - Southern Asian-American;Guadeloupe;2006;10613
FJ024452;Dengue Serotype 2;Genotype V - Asian I;Viet Nam;2007;10678
FJ024454;Dengue Serotype 2;Genotype V - Asian I;Viet Nam;2007;10678
FJ024458;Dengue Serotype 2;Genotype V - Asian I;Viet Nam;2007;10678
FJ024461;Dengue Serotype 2;Genotype V - Asian I;Viet Nam;2007;10678
FJ024473;Dengue Serotype 2;Genotype III - Southern Asian-American;Colombia;2005;10647
FJ024474;Dengue Serotype 2;Genotype III - Southern Asian-American;Colombia;2005;10640
FJ024475;Dengue Serotype 2;Genotype III - Southern Asian-American;Colombia;2005;10640
FJ024477;Dengue Serotype 2;Genotype III - Southern Asian-American;Colombia;2004;10647
FJ158608;Dengue Serotype 2;Genotype II - Cosmopolitan;China;2007;1485
FJ182012;Dengue Serotype 2;Genotype III - Southern Asian-American;Colombia;2005;10637
FJ182014;Dengue Serotype 2;Genotype III - Southern Asian-American;Nicaragua;2007;10680
FJ196851;Dengue Serotype 2;Genotype V - Asian I;China;1998;10723
FJ196852;Dengue Serotype 2;Genotype II - Cosmopolitan;China;2001;10723
FJ196853;Dengue Serotype 2;Genotype II - Cosmopolitan;China;2003;10723
FJ196854;Dengue Serotype 2;Genotype II - Cosmopolitan;China;1993;10723
FJ205877;Dengue Serotype 2;Genotype V - Asian I;Viet Nam;2007;10677
FJ205878;Dengue Serotype 2;Genotype V - Asian I;Viet Nam;2007;10678
FJ205879;Dengue Serotype 2;Genotype V - Asian I;Viet Nam;2007;10678
FJ205880;Dengue Serotype 2;Genotype V - Asian I;Viet Nam;2007;10678
FJ205885;Dengue Serotype 2;Genotype III - Southern Asian-American;Nicaragua;2008;10680
FJ226066;Dengue Serotype 2;Genotype III - Southern Asian-American;Nicaragua;2005;10684
FJ373299;Dengue Serotype 2;Genotype V - Asian I;Viet Nam;2007;10678
FJ373300;Dengue Serotype 2;Genotype III - Southern Asian-American;Nicaragua;2007;10679
FJ373301;Dengue Serotype 2;Genotype III - Southern Asian-American;Nicaragua;2007;10706
FJ390384;Dengue Serotype 2;Genotype V - Asian I;Viet Nam;2007;10678
FJ390385;Dengue Serotype 2;Genotype V - Asian I;Viet Nam;2007;10678
FJ390387;Dengue Serotype 2;Genotype V - Asian I;Viet Nam;2007;10668
FJ390389;Dengue Serotype 2;Genotype IV - Asian II;Papua New Guinea;1944;10632
FJ390390;Dengue Serotype 2;Genotype III - Southern Asian-American;Nicaragua;2007;10679
FJ390391;Dengue Serotype 2;Genotype III - Southern Asian-American;Nicaragua;2007;10680
FJ410193;Dengue Serotype 2;Genotype V - Asian I;Viet Nam;2007;10666
FJ410195;Dengue Serotype 2;Genotype V - Asian I;Viet Nam;2007;10678
FJ410200;Dengue Serotype 2;Genotype V - Asian I;Viet Nam;2007;10673
FJ410202;Dengue Serotype 2;Genotype V - Asian I;Viet Nam;2007;10668
FJ410208;Dengue Serotype 2;Genotype V - Asian I;Viet Nam;2007;10674
FJ410215;Dengue Serotype 2;Genotype V - Asian I;Viet Nam;2008;10678
FJ410217;Dengue Serotype 2;Genotype V - Asian I;Viet Nam;2007;10678
FJ410219;Dengue Serotype 2;Genotype V - Asian I;Viet Nam;2007;10668
FJ410221;Dengue Serotype 2;Genotype V - Asian I;Viet Nam;2007;10678
FJ410223;Dengue Serotype 2;Genotype V - Asian I;Viet Nam;2007;10677
FJ410224;Dengue Serotype 2;Genotype V - Asian I;Viet Nam;2007;10678
FJ410228;Dengue Serotype 2;Genotype V - Asian I;Viet Nam;2007;10678
FJ410233;Dengue Serotype 2;Genotype V - Asian I;Viet Nam;2008;10663
FJ410237;Dengue Serotype 2;Genotype V - Asian I;Viet Nam;2008;10678
FJ410241;Dengue Serotype 2;Genotype V - Asian I;Viet Nam;2008;10678
FJ410259;Dengue Serotype 2;Genotype V - Asian I;Viet Nam;2008;10678
FJ410288;Dengue Serotype 2;Genotype V - Asian I;Viet Nam;2007;10678
FJ410291;Dengue Serotype 2;Genotype III - Southern Asian-American;Nicaragua;2007;10679
FJ432724;Dengue Serotype 2;Genotype V - Asian I;Viet Nam;2007;10663
FJ432726;Dengue Serotype 2;Genotype V - Asian I;Viet Nam;2007;10678
FJ436683;Dengue Serotype 2;Could not assign;Brazil;1940;401
FJ436684;Dengue Serotype 2;Could not assign;Brazil;1940;401
FJ436685;Dengue Serotype 2;Could not assign;Brazil;1940;402
FJ436686;Dengue Serotype 2;Could not assign;Brazil;1940;402
FJ436687;Dengue Serotype 2;Could not assign;Brazil;1940;402
FJ436688;Dengue Serotype 2;Could not assign;Brazil;1940;402
FJ461305;Dengue Serotype 2;Genotype V - Asian I;Viet Nam;2007;10664
FJ461309;Dengue Serotype 2;Genotype V - Asian I;Viet Nam;2008;10678
FJ461311;Dengue Serotype 2;Genotype V - Asian I;Viet Nam;2008;10678
FJ461314;Dengue Serotype 2;Genotype V - Asian I;Viet Nam;2007;10678
FJ461321;Dengue Serotype 2;Genotype V - Asian I;Viet Nam;2007;10694
FJ467493;Dengue Serotype 2;Genotype VI - Sylvatic;Malaysia;2008;10719
FJ478455;Dengue Serotype 2;Genotype III - Southern Asian-American;Nicaragua;2005;10678
FJ478459;Dengue Serotype 2;Genotype III - Southern Asian-American;Nicaragua;2007;10680
FJ538905;Dengue Serotype 2;Genotype II - Cosmopolitan;India;2004;2541
FJ538906;Dengue Serotype 2;Genotype II - Cosmopolitan;India;2005;2541
FJ538907;Dengue Serotype 2;Genotype I - American;India;1964;2541
FJ538908;Dengue Serotype 2;Genotype I - American;India;1964;2541
FJ538909;Dengue Serotype 2;Genotype I - American;India;1964;2541
FJ538910;Dengue Serotype 2;Genotype I - American;India;1964;2541
FJ538911;Dengue Serotype 2;Genotype II - Cosmopolitan;India;1993;2541
FJ538912;Dengue Serotype 2;Genotype II - Cosmopolitan;India;1995;2541
FJ538913;Dengue Serotype 2;Genotype II - Cosmopolitan;India;1997;2541
FJ538914;Dengue Serotype 2;Genotype I - American;India;1963;2541
FJ538915;Dengue Serotype 2;Genotype I - American;India;1967;2541
FJ538916;Dengue Serotype 2;Genotype I - American;India;1971;2541
FJ538917;Dengue Serotype 2;Genotype I - American;India;1971;2541
FJ538918;Dengue Serotype 2;Genotype I - American;India;1971;2541
FJ538919;Dengue Serotype 2;Genotype I - American;India;1971;2541
FJ538920;Dengue Serotype 2;Genotype II - Cosmopolitan;India;1974;2541
FJ538921;Dengue Serotype 2;Genotype I - American;India;1980;2541
FJ538922;Dengue Serotype 2;Genotype II - Cosmopolitan;India;1983;2541
FJ538923;Dengue Serotype 2;Genotype II - Cosmopolitan;India;1991;2541
FJ538924;Dengue Serotype 2;Genotype II - Cosmopolitan;India;1990;2541
FJ538925;Dengue Serotype 2;Genotype II - Cosmopolitan;India;1992;2541
FJ538926;Dengue Serotype 2;Genotype I - American;India;1956;2541
FJ538927;Dengue Serotype 2;Genotype I - American;India;1957;2541
FJ538928;Dengue Serotype 2;Genotype I - American;India;1960;2541
FJ547064;Dengue Serotype 2;Genotype V - Asian I;Viet Nam;2007;10679
FJ547067;Dengue Serotype 2;Genotype V - Asian I;Viet Nam;2007;10675
FJ547090;Dengue Serotype 2;Genotype III - Southern Asian-American;Nicaragua;2007;10641
FJ562098;Dengue Serotype 2;Genotype V - Asian I;Viet Nam;2007;10665
FJ606703;Dengue Serotype 2;Genotype II - Cosmopolitan;Bhutan;1940;1485
FJ606704;Dengue Serotype 2;Genotype II - Cosmopolitan;Bhutan;1940;1485
FJ639697;Dengue Serotype 2;Genotype III - Southern Asian-American;Cambodia;2001;10667
FJ639698;Dengue Serotype 2;Genotype III - Southern Asian-American;Cambodia;2002;10679
FJ639699;Dengue Serotype 2;Genotype III - Southern Asian-American;Cambodia;2002;10680
FJ639700;Dengue Serotype 2;Genotype III - Southern Asian-American;Cambodia;2002;10679
FJ639701;Dengue Serotype 2;Genotype III - Southern Asian-American;Cambodia;2002;10681
FJ639702;Dengue Serotype 2;Genotype III - Southern Asian-American;Cambodia;2003;10667
FJ639703;Dengue Serotype 2;Genotype III - Southern Asian-American;Cambodia;2003;10663
FJ639704;Dengue Serotype 2;Genotype V - Asian I;Cambodia;2003;10672
FJ639705;Dengue Serotype 2;Genotype V - Asian I;Cambodia;2003;10678
FJ639706;Dengue Serotype 2;Genotype V - Asian I;Cambodia;2004;10677
FJ639707;Dengue Serotype 2;Genotype V - Asian I;Cambodia;2004;10677
FJ639708;Dengue Serotype 2;Genotype V - Asian I;Cambodia;2005;10677
FJ639709;Dengue Serotype 2;Genotype V - Asian I;Cambodia;2005;10683
FJ639710;Dengue Serotype 2;Genotype V - Asian I;Cambodia;2005;10658
FJ639711;Dengue Serotype 2;Genotype V - Asian I;Cambodia;2005;10666
FJ639717;Dengue Serotype 2;Genotype V - Asian I;Cambodia;2007;10678
FJ639718;Dengue Serotype 2;Genotype V - Asian I;Cambodia;2008;10703
FJ639732;Dengue Serotype 2;Genotype III - Southern Asian-American;Venezuela;2005;10630
FJ639733;Dengue Serotype 2;Genotype III - Southern Asian-American;Venezuela;2005;10670
FJ639734;Dengue Serotype 2;Genotype III - Southern Asian-American;Venezuela;2003;10647
FJ639783;Dengue Serotype 2;Genotype III - Southern Asian-American;Venezuela;2003;10679
FJ639788;Dengue Serotype 2;Genotype III - Southern Asian-American;Venezuela;2004;10678
FJ639809;Dengue Serotype 2;Genotype III - Southern Asian-American;Venezuela;2005;10678
FJ639822;Dengue Serotype 2;Genotype III - Southern Asian-American;Venezuela;2006;10679
FJ639828;Dengue Serotype 2;Genotype V - Asian I;Thailand;2001;10670
FJ639829;Dengue Serotype 2;Genotype V - Asian I;Thailand;2001;10679
FJ639830;Dengue Serotype 2;Genotype V - Asian I;Thailand;2001;10679
FJ639831;Dengue Serotype 2;Genotype V - Asian I;Thailand;2001;10660
FJ639832;Dengue Serotype 2;Genotype V - Asian I;Thailand;2001;10658
FJ639833;Dengue Serotype 2;Genotype III - Southern Asian-American;Nicaragua;2007;10679
FJ639834;Dengue Serotype 2;Genotype III - Southern Asian-American;Nicaragua;2007;10665
FJ639835;Dengue Serotype 2;Genotype III - Southern Asian-American;Nicaragua;2007;10680
FJ639836;Dengue Serotype 2;Genotype III - Southern Asian-American;Nicaragua;2007;10680
FJ639837;Dengue Serotype 2;Genotype III - Southern Asian-American;Nicaragua;2007;10679
FJ687434;Dengue Serotype 2;Genotype V - Asian I;Thailand;2001;10679
FJ687435;Dengue Serotype 2;Genotype V - Asian I;Thailand;2001;10679
FJ687436;Dengue Serotype 2;Genotype V - Asian I;Thailand;2001;10679
FJ687437;Dengue Serotype 2;Genotype V - Asian I;Thailand;2001;10678
FJ687438;Dengue Serotype 2;Genotype V - Asian I;Thailand;2001;10678
FJ687439;Dengue Serotype 2;Genotype V - Asian I;Thailand;2001;10677
FJ687440;Dengue Serotype 2;Genotype V - Asian I;Thailand;2001;10679
FJ687441;Dengue Serotype 2;Genotype V - Asian I;Thailand;2001;10679
FJ687442;Dengue Serotype 2;Genotype V - Asian I;Thailand;2001;10679
FJ687443;Dengue Serotype 2;Genotype V - Asian I;Thailand;2001;10679
FJ687444;Dengue Serotype 2;Genotype V - Asian I;Thailand;2001;10661
FJ687445;Dengue Serotype 2;Genotype V - Asian I;Thailand;2001;10679
FJ687446;Dengue Serotype 2;Genotype V - Asian I;Thailand;2001;10679
FJ687447;Dengue Serotype 2;Genotype V - Asian I;Thailand;2001;10678
FJ744703;Dengue Serotype 2;Genotype III - Southern Asian-American;Nicaragua;2007;10673
FJ744704;Dengue Serotype 2;Genotype III - Southern Asian-American;Nicaragua;2001;10664
FJ744705;Dengue Serotype 2;Genotype III - Southern Asian-American;Nicaragua;2000;10669
FJ744706;Dengue Serotype 2;Genotype III - Southern Asian-American;Nicaragua;2007;10679
FJ744707;Dengue Serotype 2;Genotype III - Southern Asian-American;Nicaragua;2007;10678
FJ744708;Dengue Serotype 2;Genotype III - Southern Asian-American;Nicaragua;2007;10689
FJ744709;Dengue Serotype 2;Genotype III - Southern Asian-American;Nicaragua;2008;10640
FJ744710;Dengue Serotype 2;Genotype V - Asian I;Thailand;2001;10678
FJ744711;Dengue Serotype 2;Genotype V - Asian I;Thailand;2001;10678
FJ744712;Dengue Serotype 2;Genotype V - Asian I;Thailand;2001;10678
FJ744713;Dengue Serotype 2;Genotype V - Asian I;Thailand;2001;10678
FJ744714;Dengue Serotype 2;Genotype V - Asian I;Thailand;2001;10678
FJ744715;Dengue Serotype 2;Genotype V - Asian I;Thailand;2001;10678
FJ744716;Dengue Serotype 2;Genotype V - Asian I;Thailand;2001;10678
FJ744717;Dengue Serotype 2;Genotype V - Asian I;Thailand;2001;10678
FJ744718;Dengue Serotype 2;Genotype V - Asian I;Thailand;2001;10678
FJ744719;Dengue Serotype 2;Genotype V - Asian I;Thailand;2001;10719
FJ744720;Dengue Serotype 2;Genotype V - Asian I;Thailand;2001;10678
FJ744721;Dengue Serotype 2;Genotype V - Asian I;Thailand;2001;10679
FJ744722;Dengue Serotype 2;Genotype V - Asian I;Thailand;2001;10679
FJ744723;Dengue Serotype 2;Genotype V - Asian I;Thailand;2001;10671
FJ744724;Dengue Serotype 2;Genotype V - Asian I;Thailand;2001;10659
FJ744725;Dengue Serotype 2;Genotype V - Asian I;Thailand;2001;10678
FJ744741;Dengue Serotype 2;Genotype III - Southern Asian-American;Nicaragua;2006;10679
FJ744742;Dengue Serotype 2;Genotype III - Southern Asian-American;Nicaragua;2006;10679
FJ744743;Dengue Serotype 2;Genotype III - Southern Asian-American;Nicaragua;2007;10727
FJ744744;Dengue Serotype 2;Genotype III - Southern Asian-American;Nicaragua;2000;10664
FJ744745;Dengue Serotype 2;Genotype III - Southern Asian-American;Nicaragua;2000;10679
FJ807632;Dengue Serotype 2;Genotype II - Cosmopolitan;India;2004;1485
FJ807633;Dengue Serotype 2;Genotype II - Cosmopolitan;India;2005;1485
FJ807634;Dengue Serotype 2;Genotype II - Cosmopolitan;India;1994;1485
FJ807635;Dengue Serotype 2;Could not assign;India;2005;1485
FJ807636;Dengue Serotype 2;Genotype II - Cosmopolitan;India;2005;1485
FJ807637;Dengue Serotype 2;Genotype II - Cosmopolitan;India;1996;1485
FJ807638;Dengue Serotype 2;Genotype II - Cosmopolitan;India;1996;1485
FJ807639;Dengue Serotype 2;Genotype II - Cosmopolitan;India;1993;1485
FJ807640;Dengue Serotype 2;Genotype II - Cosmopolitan;India;1994;1485
FJ810409;Dengue Serotype 2;Genotype V - Asian I;Thailand;2001;10679
FJ810410;Dengue Serotype 2;Genotype V - Asian I;Thailand;2001;10703
FJ810411;Dengue Serotype 2;Genotype V - Asian I;Thailand;2001;10678
FJ810412;Dengue Serotype 2;Genotype V - Asian I;Thailand;2001;10737
FJ810418;Dengue Serotype 2;Genotype III - Southern Asian-American;Nicaragua;2008;10677
FJ850050;Dengue Serotype 2;Genotype III - Southern Asian-American;Nicaragua;2007;10660
FJ850051;Dengue Serotype 2;Genotype III - Southern Asian-American;Nicaragua;2007;10679
